Date,Open,High,Low,Close,Volume
2020-01-02,307.56,313.57,307.56,313.57,31754120
2020-01-03,318.2,319.12,310.33,314.03,41811268
2020-01-06,308.02,309.41,307.1,307.1,45343057
2020-01-07,307.56,308.02,302.01,304.78,50879181
2020-01-08,300.62,308.02,300.62,304.78,37567748
2020-01-09,309.87,312.18,308.48,312.18,31481504
2020-01-10,314.96,315.42,310.8,314.03,27032115
2020-01-13,316.35,316.35,313.57,315.88,30663332
2020-01-14,319.58,320.05,318.66,320.05,30223993
2020-01-15,319.12,319.12,312.18,314.5,47434274
2020-01-16,305.25,311.26,305.25,309.41,55211420
2020-01-17,308.95,310.33,307.1,308.02,52060097
2020-01-20,308.95,310.33,308.02,308.02,32658203
2020-01-30,301.55,301.55,292.76,292.76,125451049
2020-01-31,298.77,299.23,295.07,296.0,62526055
2020-02-03,291.37,292.76,288.6,291.37,59560849
2020-02-04,311.26,311.72,300.62,300.62,51890496
2020-02-05,304.32,304.78,300.16,302.93,36601453
2020-02-06,304.78,307.56,304.32,307.56,29267094
2020-02-07,305.25,305.71,301.55,303.4,28798327
2020-02-10,297.38,303.4,296.92,302.93,30632424
2020-02-11,305.71,307.56,305.25,306.63,27524935
2020-02-12,308.48,310.8,308.02,309.87,37612639
2020-02-13,312.65,312.65,309.87,309.87,22757021
2020-02-14,311.72,311.72,309.41,309.87,16933683
2020-02-17,306.63,308.02,305.71,306.63,15937079
2020-02-18,300.16,302.01,297.85,297.85,61825604
2020-02-19,298.31,302.47,297.85,302.01,38781218
2020-02-20,303.4,304.32,300.62,301.08,27011736
2020-02-21,301.08,302.01,298.77,300.62,22813534
2020-02-24,295.53,297.38,295.53,296.0,41693680
2020-02-25,296.0,299.23,293.68,297.85,36195011
2020-02-26,293.22,296.46,292.76,294.61,60479362
2020-02-27,295.07,296.0,291.37,292.3,61250927
2020-03-02,284.9,293.22,284.9,287.67,79912942
2020-03-03,294.61,296.0,292.3,293.68,49679411
2020-03-04,297.85,297.85,293.22,296.46,42941146
2020-03-05,300.62,301.55,298.77,298.77,37861525
2020-03-06,296.0,296.46,291.37,291.37,51546760
2020-03-09,284.43,286.75,282.58,282.58,87871277
2020-03-10,278.88,285.82,278.42,283.97,71950130
2020-03-11,285.82,287.21,279.35,279.35,62216710
2020-03-12,276.57,276.57,265.47,271.95,113527351
2020-03-13,254.37,271.95,252.06,268.25,149995148
2020-03-16,263.62,269.17,254.83,255.76,103873228
2020-03-17,245.12,255.76,245.12,247.9,121323651
2020-03-18,249.28,252.06,240.5,240.5,117437643
2020-03-19,235.36,236.29,219.95,231.62,160811697
2020-03-20,241.43,252.17,239.1,252.17,157664726
2020-03-23,240.03,245.17,235.36,238.16,76466709
2020-03-24,250.3,255.91,248.43,249.84,81952933
2020-03-25,258.24,261.51,255.91,258.71,79447199
2020-03-26,261.04,261.51,257.31,261.51,52845633
2020-03-27,265.25,267.11,254.97,254.97,68752306
2020-03-30,246.1,251.24,245.17,249.84,49159956
2020-03-31,254.97,255.91,251.7,255.91,48837923
2020-04-01,258.24,258.24,253.57,253.57,44515034
2020-04-06,254.97,257.31,252.17,257.31,56392754
2020-04-07,264.78,265.25,261.98,264.31,48787346
2020-04-08,266.18,266.65,264.31,266.18,37912826
2020-04-09,268.52,268.98,263.85,264.31,27620430
2020-04-10,261.51,263.38,260.58,261.04,27252858
2020-04-13,260.11,262.91,260.11,260.11,22196596
2020-04-14,262.44,266.65,261.51,266.18,48809688
2020-04-15,268.05,269.45,267.11,268.52,55216434
2020-04-16,264.31,269.45,264.31,267.58,47815280
2020-04-17,283.46,288.13,280.66,286.26,116368201
2020-04-20,287.66,288.6,282.52,283.93,41381669
2020-04-21,280.66,281.59,274.12,275.52,61479357
2020-04-22,275.05,275.52,271.32,274.59,42192580
2020-04-23,280.19,280.19,274.59,275.99,39474478
2020-04-24,275.99,277.39,274.59,274.59,26008090
2020-04-27,278.32,278.79,276.45,278.32,38493406
2020-04-28,278.79,278.79,275.05,276.92,37395165
2020-04-29,279.26,281.59,278.32,279.26,44059301
2020-04-30,282.06,284.86,281.59,284.39,55126085
2020-05-04,275.05,276.92,274.59,275.52,71581861
2020-05-05,276.92,278.32,275.52,275.99,23547405
2020-05-06,275.05,276.45,273.19,276.45,34240479
2020-05-07,275.05,279.26,275.05,277.85,27621198
2020-05-08,280.19,280.19,276.45,277.85,32295893
2020-05-11,280.19,281.59,278.79,281.12,28727019
2020-05-12,277.85,278.79,275.52,275.52,52089788
2020-05-13,273.65,277.39,273.19,277.39,26156418
2020-05-14,273.65,275.52,273.19,273.65,34315948
2020-05-15,277.85,278.79,275.05,278.32,42494804
2020-05-18,271.78,274.12,270.85,270.85,84986065
2020-05-19,274.59,274.59,272.25,272.25,51250214
2020-05-20,273.65,274.59,271.78,274.59,32677994
2020-05-21,276.45,278.32,275.52,277.85,30997468
2020-05-22,275.05,275.52,271.78,272.72,40192923
