,Target
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,1
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,1
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,0
